%SeriesCode,Period,Value
DCLORC,1959M01,"24,379"
DCLORC,1959M02,"25,169"
DCLORC,1959M03,"24,807"
DCLORC,1959M04,"24,622"
DCLORC,1959M05,"25,943"
DCLORC,1959M06,"25,937"
DCLORC,1959M07,"25,375"
DCLORC,1959M08,"25,106"
DCLORC,1959M09,"25,840"
DCLORC,1959M10,"25,751"
DCLORC,1959M11,"25,529"
DCLORC,1959M12,"25,940"
DCLORC,1960M01,"26,496"
DCLORC,1960M02,"25,697"
DCLORC,1960M03,"25,441"
DCLORC,1960M04,"27,340"
DCLORC,1960M05,"25,221"
DCLORC,1960M06,"26,027"
DCLORC,1960M07,"26,005"
DCLORC,1960M08,"25,916"
DCLORC,1960M09,"25,681"
DCLORC,1960M10,"26,415"
DCLORC,1960M11,"25,689"
DCLORC,1960M12,"25,347"
DCLORC,1961M01,"25,316"
DCLORC,1961M02,"25,931"
DCLORC,1961M03,"26,944"
DCLORC,1961M04,"25,660"
DCLORC,1961M05,"26,508"
DCLORC,1961M06,"26,669"
DCLORC,1961M07,"26,576"
DCLORC,1961M08,"26,599"
DCLORC,1961M09,"26,672"
DCLORC,1961M10,"27,130"
DCLORC,1961M11,"27,489"
DCLORC,1961M12,"27,356"
DCLORC,1962M01,"27,452"
DCLORC,1962M02,"26,897"
DCLORC,1962M03,"27,744"
DCLORC,1962M04,"28,101"
DCLORC,1962M05,"28,149"
DCLORC,1962M06,"27,086"
DCLORC,1962M07,"27,496"
DCLORC,1962M08,"27,591"
DCLORC,1962M09,"28,959"
DCLORC,1962M10,"28,028"
DCLORC,1962M11,"28,336"
DCLORC,1962M12,"28,462"
DCLORC,1963M01,"28,233"
DCLORC,1963M02,"27,781"
DCLORC,1963M03,"28,567"
DCLORC,1963M04,"28,427"
DCLORC,1963M05,"27,948"
DCLORC,1963M06,"28,886"
DCLORC,1963M07,"28,826"
DCLORC,1963M08,"29,303"
DCLORC,1963M09,"28,877"
DCLORC,1963M10,"28,201"
DCLORC,1963M11,"28,695"
DCLORC,1963M12,"29,672"
DCLORC,1964M01,"29,389"
DCLORC,1964M02,"30,435"
DCLORC,1964M03,"30,615"
DCLORC,1964M04,"30,281"
DCLORC,1964M05,"31,470"
DCLORC,1964M06,"31,281"
DCLORC,1964M07,"31,420"
DCLORC,1964M08,"31,653"
DCLORC,1964M09,"31,256"
DCLORC,1964M10,"31,706"
DCLORC,1964M11,"31,094"
DCLORC,1964M12,"32,417"
DCLORC,1965M01,"32,407"
DCLORC,1965M02,"32,311"
DCLORC,1965M03,"30,950"
DCLORC,1965M04,"31,920"
DCLORC,1965M05,"32,380"
DCLORC,1965M06,"31,405"
DCLORC,1965M07,"32,390"
DCLORC,1965M08,"32,179"
DCLORC,1965M09,"33,681"
DCLORC,1965M10,"33,790"
DCLORC,1965M11,"34,210"
DCLORC,1965M12,"34,287"
DCLORC,1966M01,"34,920"
DCLORC,1966M02,"35,313"
DCLORC,1966M03,"35,074"
DCLORC,1966M04,"35,329"
DCLORC,1966M05,"35,101"
DCLORC,1966M06,"36,142"
DCLORC,1966M07,"36,280"
DCLORC,1966M08,"36,194"
DCLORC,1966M09,"36,403"
DCLORC,1966M10,"36,496"
DCLORC,1966M11,"36,459"
DCLORC,1966M12,"36,028"
DCLORC,1967M01,"36,532"
DCLORC,1967M02,"36,449"
DCLORC,1967M03,"37,298"
DCLORC,1967M04,"37,343"
DCLORC,1967M05,"37,164"
DCLORC,1967M06,"37,620"
DCLORC,1967M07,"37,162"
DCLORC,1967M08,"37,757"
DCLORC,1967M09,"38,950"
DCLORC,1967M10,"37,298"
DCLORC,1967M11,"38,302"
DCLORC,1967M12,"38,691"
DCLORC,1968M01,"39,065"
DCLORC,1968M02,"39,778"
DCLORC,1968M03,"40,415"
DCLORC,1968M04,"40,456"
DCLORC,1968M05,"40,572"
DCLORC,1968M06,"41,262"
DCLORC,1968M07,"42,341"
DCLORC,1968M08,"42,354"
DCLORC,1968M09,"41,727"
DCLORC,1968M10,"42,226"
DCLORC,1968M11,"42,986"
DCLORC,1968M12,"41,938"
DCLORC,1969M01,"42,925"
DCLORC,1969M02,"43,577"
DCLORC,1969M03,"43,595"
DCLORC,1969M04,"43,885"
DCLORC,1969M05,"44,269"
DCLORC,1969M06,"43,982"
DCLORC,1969M07,"44,739"
DCLORC,1969M08,"45,222"
DCLORC,1969M09,"44,562"
DCLORC,1969M10,"45,100"
DCLORC,1969M11,"44,654"
DCLORC,1969M12,"45,461"
DCLORC,1970M01,"44,739"
DCLORC,1970M02,"45,257"
DCLORC,1970M03,"44,644"
DCLORC,1970M04,"44,673"
DCLORC,1970M05,"45,164"
DCLORC,1970M06,"45,214"
DCLORC,1970M07,"45,392"
DCLORC,1970M08,"45,217"
DCLORC,1970M09,"45,257"
DCLORC,1970M10,"46,521"
DCLORC,1970M11,"46,112"
DCLORC,1970M12,"47,214"
DCLORC,1971M01,"47,428"
DCLORC,1971M02,"47,766"
DCLORC,1971M03,"46,877"
DCLORC,1971M04,"48,565"
DCLORC,1971M05,"48,639"
DCLORC,1971M06,"49,754"
DCLORC,1971M07,"49,045"
DCLORC,1971M08,"49,393"
DCLORC,1971M09,"50,061"
DCLORC,1971M10,"49,232"
DCLORC,1971M11,"50,799"
DCLORC,1971M12,"51,000"
DCLORC,1972M01,"50,663"
DCLORC,1972M02,"50,606"
DCLORC,1972M03,"51,880"
DCLORC,1972M04,"51,503"
DCLORC,1972M05,"53,099"
DCLORC,1972M06,"52,832"
DCLORC,1972M07,"53,654"
DCLORC,1972M08,"53,912"
DCLORC,1972M09,"54,885"
DCLORC,1972M10,"56,830"
DCLORC,1972M11,"56,108"
DCLORC,1972M12,"55,921"
DCLORC,1973M01,"57,437"
DCLORC,1973M02,"58,460"
DCLORC,1973M03,"59,037"
DCLORC,1973M04,"58,792"
DCLORC,1973M05,"58,474"
DCLORC,1973M06,"59,625"
DCLORC,1973M07,"59,489"
DCLORC,1973M08,"58,495"
DCLORC,1973M09,"60,190"
DCLORC,1973M10,"59,720"
DCLORC,1973M11,"60,882"
DCLORC,1973M12,"60,314"
DCLORC,1974M01,"61,764"
DCLORC,1974M02,"61,250"
DCLORC,1974M03,"61,876"
DCLORC,1974M04,"62,579"
DCLORC,1974M05,"63,001"
DCLORC,1974M06,"62,564"
DCLORC,1974M07,"63,669"
DCLORC,1974M08,"63,620"
DCLORC,1974M09,"63,416"
DCLORC,1974M10,"62,902"
DCLORC,1974M11,"61,531"
DCLORC,1974M12,"60,895"
DCLORC,1975M01,"63,267"
DCLORC,1975M02,"64,402"
DCLORC,1975M03,"64,683"
DCLORC,1975M04,"63,466"
DCLORC,1975M05,"68,420"
DCLORC,1975M06,"67,535"
DCLORC,1975M07,"67,092"
DCLORC,1975M08,"68,662"
DCLORC,1975M09,"68,474"
DCLORC,1975M10,"67,278"
DCLORC,1975M11,"69,161"
DCLORC,1975M12,"69,964"
DCLORC,1976M01,"70,443"
DCLORC,1976M02,"70,563"
DCLORC,1976M03,"69,765"
DCLORC,1976M04,"71,381"
DCLORC,1976M05,"69,798"
DCLORC,1976M06,"71,862"
DCLORC,1976M07,"72,737"
DCLORC,1976M08,"72,929"
DCLORC,1976M09,"73,356"
DCLORC,1976M10,"74,359"
DCLORC,1976M11,"73,991"
DCLORC,1976M12,"75,105"
DCLORC,1977M01,"74,056"
DCLORC,1977M02,"76,683"
DCLORC,1977M03,"76,347"
DCLORC,1977M04,"77,557"
DCLORC,1977M05,"77,205"
DCLORC,1977M06,"77,407"
DCLORC,1977M07,"79,781"
DCLORC,1977M08,"79,718"
DCLORC,1977M09,"80,042"
DCLORC,1977M10,"83,095"
DCLORC,1977M11,"84,792"
DCLORC,1977M12,"84,977"
DCLORC,1978M01,"83,012"
DCLORC,1978M02,"84,671"
DCLORC,1978M03,"86,443"
DCLORC,1978M04,"87,956"
DCLORC,1978M05,"89,087"
DCLORC,1978M06,"90,181"
DCLORC,1978M07,"89,168"
DCLORC,1978M08,"90,149"
DCLORC,1978M09,"92,174"
DCLORC,1978M10,"91,627"
DCLORC,1978M11,"92,740"
DCLORC,1978M12,"94,602"
DCLORC,1979M01,"92,738"
DCLORC,1979M02,"91,788"
DCLORC,1979M03,"95,001"
DCLORC,1979M04,"93,767"
DCLORC,1979M05,"95,032"
DCLORC,1979M06,"95,208"
DCLORC,1979M07,"97,030"
DCLORC,1979M08,"98,997"
DCLORC,1979M09,"98,299"
DCLORC,1979M10,"98,957"
DCLORC,1979M11,"100,239"
DCLORC,1979M12,"99,395"
DCLORC,1980M01,"101,359"
DCLORC,1980M02,"100,295"
DCLORC,1980M03,"99,002"
DCLORC,1980M04,"99,744"
DCLORC,1980M05,"100,709"
DCLORC,1980M06,"101,315"
DCLORC,1980M07,"102,361"
DCLORC,1980M08,"105,015"
DCLORC,1980M09,"104,420"
DCLORC,1980M10,"107,322"
DCLORC,1980M11,"106,837"
DCLORC,1980M12,"107,647"
DCLORC,1981M01,"109,772"
DCLORC,1981M02,"111,495"
DCLORC,1981M03,"111,496"
DCLORC,1981M04,"112,818"
DCLORC,1981M05,"110,938"
DCLORC,1981M06,"113,602"
DCLORC,1981M07,"114,178"
DCLORC,1981M08,"114,725"
DCLORC,1981M09,"115,278"
DCLORC,1981M10,"114,796"
DCLORC,1981M11,"114,007"
DCLORC,1981M12,"115,027"
DCLORC,1982M01,"114,259"
DCLORC,1982M02,"117,851"
DCLORC,1982M03,"116,087"
DCLORC,1982M04,"115,096"
DCLORC,1982M05,"115,644"
DCLORC,1982M06,"113,878"
DCLORC,1982M07,"118,234"
DCLORC,1982M08,"116,748"
DCLORC,1982M09,"116,555"
DCLORC,1982M10,"117,856"
DCLORC,1982M11,"117,986"
DCLORC,1982M12,"120,748"
DCLORC,1983M01,"120,108"
DCLORC,1983M02,"119,851"
DCLORC,1983M03,"121,536"
DCLORC,1983M04,"123,228"
DCLORC,1983M05,"125,137"
DCLORC,1983M06,"127,534"
DCLORC,1983M07,"127,336"
DCLORC,1983M08,"127,931"
DCLORC,1983M09,"128,449"
DCLORC,1983M10,"130,424"
DCLORC,1983M11,"132,776"
DCLORC,1983M12,"133,037"
DCLORC,1984M01,"136,301"
DCLORC,1984M02,"134,647"
DCLORC,1984M03,"132,193"
DCLORC,1984M04,"135,460"
DCLORC,1984M05,"137,494"
DCLORC,1984M06,"141,633"
DCLORC,1984M07,"136,318"
DCLORC,1984M08,"136,263"
DCLORC,1984M09,"139,277"
DCLORC,1984M10,"138,642"
DCLORC,1984M11,"141,702"
DCLORC,1984M12,"141,534"
DCLORC,1985M01,"140,862"
DCLORC,1985M02,"144,223"
DCLORC,1985M03,"144,125"
DCLORC,1985M04,"145,660"
DCLORC,1985M05,"146,735"
DCLORC,1985M06,"144,585"
DCLORC,1985M07,"146,307"
DCLORC,1985M08,"148,443"
DCLORC,1985M09,"149,266"
DCLORC,1985M10,"149,221"
DCLORC,1985M11,"152,388"
DCLORC,1985M12,"150,328"
DCLORC,1986M01,"152,375"
DCLORC,1986M02,"152,843"
DCLORC,1986M03,"155,083"
DCLORC,1986M04,"155,993"
DCLORC,1986M05,"157,544"
DCLORC,1986M06,"157,401"
DCLORC,1986M07,"157,348"
DCLORC,1986M08,"160,065"
DCLORC,1986M09,"159,214"
DCLORC,1986M10,"159,903"
DCLORC,1986M11,"157,762"
DCLORC,1986M12,"160,869"
DCLORC,1987M01,"159,002"
DCLORC,1987M02,"167,359"
DCLORC,1987M03,"166,188"
DCLORC,1987M04,"165,841"
DCLORC,1987M05,"166,221"
DCLORC,1987M06,"168,000"
DCLORC,1987M07,"169,188"
DCLORC,1987M08,"169,757"
DCLORC,1987M09,"169,427"
DCLORC,1987M10,"169,531"
DCLORC,1987M11,"169,584"
DCLORC,1987M12,"172,631"
DCLORC,1988M01,"172,389"
DCLORC,1988M02,"170,756"
DCLORC,1988M03,"175,097"
DCLORC,1988M04,"173,345"
DCLORC,1988M05,"175,931"
DCLORC,1988M06,"175,801"
DCLORC,1988M07,"178,085"
DCLORC,1988M08,"178,373"
DCLORC,1988M09,"181,428"
DCLORC,1988M10,"185,630"
DCLORC,1988M11,"185,368"
DCLORC,1988M12,"186,366"
DCLORC,1989M01,"191,133"
DCLORC,1989M02,"183,352"
DCLORC,1989M03,"184,120"
DCLORC,1989M04,"189,743"
DCLORC,1989M05,"188,978"
DCLORC,1989M06,"190,025"
DCLORC,1989M07,"189,936"
DCLORC,1989M08,"191,066"
DCLORC,1989M09,"193,445"
DCLORC,1989M10,"193,396"
DCLORC,1989M11,"194,541"
DCLORC,1989M12,"195,026"
DCLORC,1990M01,"195,005"
DCLORC,1990M02,"194,658"
DCLORC,1990M03,"197,347"
DCLORC,1990M04,"193,804"
DCLORC,1990M05,"195,477"
DCLORC,1990M06,"197,766"
DCLORC,1990M07,"197,596"
DCLORC,1990M08,"195,124"
DCLORC,1990M09,"195,064"
DCLORC,1990M10,"193,804"
DCLORC,1990M11,"193,822"
DCLORC,1990M12,"193,468"
DCLORC,1991M01,"192,682"
DCLORC,1991M02,"196,968"
DCLORC,1991M03,"199,029"
DCLORC,1991M04,"202,047"
DCLORC,1991M05,"200,303"
DCLORC,1991M06,"198,531"
DCLORC,1991M07,"201,894"
DCLORC,1991M08,"203,170"
DCLORC,1991M09,"198,939"
DCLORC,1991M10,"198,100"
DCLORC,1991M11,"199,593"
DCLORC,1991M12,"197,920"
DCLORC,1992M01,"204,232"
DCLORC,1992M02,"208,585"
DCLORC,1992M03,"204,446"
DCLORC,1992M04,"206,699"
DCLORC,1992M05,"208,847"
DCLORC,1992M06,"211,077"
DCLORC,1992M07,"210,522"
DCLORC,1992M08,"213,985"
DCLORC,1992M09,"215,851"
DCLORC,1992M10,"216,180"
DCLORC,1992M11,"215,821"
DCLORC,1992M12,"218,556"
DCLORC,1993M01,"220,839"
DCLORC,1993M02,"214,002"
DCLORC,1993M03,"211,461"
DCLORC,1993M04,"216,428"
DCLORC,1993M05,"218,756"
DCLORC,1993M06,"218,570"
DCLORC,1993M07,"220,064"
DCLORC,1993M08,"219,533"
DCLORC,1993M09,"220,959"
DCLORC,1993M10,"222,026"
DCLORC,1993M11,"223,422"
DCLORC,1993M12,"222,577"
DCLORC,1994M01,"221,578"
DCLORC,1994M02,"224,352"
DCLORC,1994M03,"228,713"
DCLORC,1994M04,"226,759"
DCLORC,1994M05,"223,617"
DCLORC,1994M06,"225,978"
DCLORC,1994M07,"226,458"
DCLORC,1994M08,"229,238"
DCLORC,1994M09,"227,345"
DCLORC,1994M10,"231,657"
DCLORC,1994M11,"231,584"
DCLORC,1994M12,"231,937"
DCLORC,1995M01,"231,571"
DCLORC,1995M02,"224,899"
DCLORC,1995M03,"229,023"
DCLORC,1995M04,"228,121"
DCLORC,1995M05,"229,854"
DCLORC,1995M06,"231,065"
DCLORC,1995M07,"233,868"
DCLORC,1995M08,"229,532"
DCLORC,1995M09,"236,890"
DCLORC,1995M10,"230,008"
DCLORC,1995M11,"234,728"
DCLORC,1995M12,"235,385"
DCLORC,1996M01,"231,366"
DCLORC,1996M02,"237,017"
DCLORC,1996M03,"236,588"
DCLORC,1996M04,"239,707"
DCLORC,1996M05,"239,266"
DCLORC,1996M06,"240,351"
DCLORC,1996M07,"238,821"
DCLORC,1996M08,"240,031"
DCLORC,1996M09,"242,418"
DCLORC,1996M10,"243,502"
DCLORC,1996M11,"241,895"
DCLORC,1996M12,"243,537"
DCLORC,1997M01,"243,011"
DCLORC,1997M02,"243,945"
DCLORC,1997M03,"244,109"
DCLORC,1997M04,"242,669"
DCLORC,1997M05,"243,709"
DCLORC,1997M06,"246,834"
DCLORC,1997M07,"249,017"
DCLORC,1997M08,"250,750"
DCLORC,1997M09,"249,882"
DCLORC,1997M10,"250,623"
DCLORC,1997M11,"252,661"
DCLORC,1997M12,"252,743"
DCLORC,1998M01,"253,444"
DCLORC,1998M02,"255,414"
DCLORC,1998M03,"255,006"
DCLORC,1998M04,"258,716"
DCLORC,1998M05,"257,142"
DCLORC,1998M06,"257,147"
DCLORC,1998M07,"259,091"
DCLORC,1998M08,"257,579"
DCLORC,1998M09,"255,674"
DCLORC,1998M10,"260,392"
DCLORC,1998M11,"262,087"
DCLORC,1998M12,"261,972"
DCLORC,1999M01,"265,498"
DCLORC,1999M02,"267,118"
DCLORC,1999M03,"269,901"
DCLORC,1999M04,"269,635"
DCLORC,1999M05,"271,710"
DCLORC,1999M06,"273,019"
DCLORC,1999M07,"271,164"
DCLORC,1999M08,"272,294"
DCLORC,1999M09,"273,041"
DCLORC,1999M10,"272,947"
DCLORC,1999M11,"272,302"
DCLORC,1999M12,"274,534"
DCLORC,2000M01,"271,548"
DCLORC,2000M02,"275,408"
DCLORC,2000M03,"280,861"
DCLORC,2000M04,"278,826"
DCLORC,2000M05,"282,061"
DCLORC,2000M06,"279,363"
DCLORC,2000M07,"278,435"
DCLORC,2000M08,"281,861"
DCLORC,2000M09,"287,271"
DCLORC,2000M10,"284,137"
DCLORC,2000M11,"285,667"
DCLORC,2000M12,"284,539"
DCLORC,2001M01,"285,368"
DCLORC,2001M02,"282,005"
DCLORC,2001M03,"274,549"
DCLORC,2001M04,"280,939"
DCLORC,2001M05,"278,525"
DCLORC,2001M06,"275,730"
DCLORC,2001M07,"277,835"
DCLORC,2001M08,"279,984"
DCLORC,2001M09,"268,050"
DCLORC,2001M10,"275,960"
DCLORC,2001M11,"277,138"
DCLORC,2001M12,"278,338"
DCLORC,2002M01,"278,525"
DCLORC,2002M02,"279,217"
DCLORC,2002M03,"279,812"
DCLORC,2002M04,"280,829"
DCLORC,2002M05,"276,012"
DCLORC,2002M06,"279,166"
DCLORC,2002M07,"276,826"
DCLORC,2002M08,"277,233"
DCLORC,2002M09,"272,460"
DCLORC,2002M10,"283,003"
DCLORC,2002M11,"280,118"
DCLORC,2002M12,"282,817"
DCLORC,2003M01,"280,663"
DCLORC,2003M02,"274,101"
DCLORC,2003M03,"279,229"
DCLORC,2003M04,"278,784"
DCLORC,2003M05,"282,657"
DCLORC,2003M06,"285,908"
DCLORC,2003M07,"289,635"
DCLORC,2003M08,"289,995"
DCLORC,2003M09,"290,752"
DCLORC,2003M10,"287,828"
DCLORC,2003M11,"291,065"
DCLORC,2003M12,"292,929"
DCLORC,2004M01,"293,335"
DCLORC,2004M02,"295,405"
DCLORC,2004M03,"300,962"
DCLORC,2004M04,"293,035"
DCLORC,2004M05,"296,799"
DCLORC,2004M06,"293,711"
DCLORC,2004M07,"295,715"
DCLORC,2004M08,"296,155"
DCLORC,2004M09,"297,633"
DCLORC,2004M10,"301,370"
DCLORC,2004M11,"301,355"
DCLORC,2004M12,"303,081"
DCLORC,2005M01,"303,660"
DCLORC,2005M02,"310,098"
DCLORC,2005M03,"304,393"
DCLORC,2005M04,"311,550"
DCLORC,2005M05,"308,746"
DCLORC,2005M06,"312,969"
DCLORC,2005M07,"308,286"
DCLORC,2005M08,"310,921"
DCLORC,2005M09,"305,487"
DCLORC,2005M10,"317,208"
DCLORC,2005M11,"316,849"
DCLORC,2005M12,"315,946"
DCLORC,2006M01,"318,377"
DCLORC,2006M02,"317,025"
DCLORC,2006M03,"316,818"
DCLORC,2006M04,"320,545"
DCLORC,2006M05,"316,072"
DCLORC,2006M06,"318,466"
DCLORC,2006M07,"318,943"
DCLORC,2006M08,"317,491"
DCLORC,2006M09,"325,439"
DCLORC,2006M10,"324,725"
DCLORC,2006M11,"318,760"
DCLORC,2006M12,"327,614"
DCLORC,2007M01,"327,258"
DCLORC,2007M02,"321,267"
DCLORC,2007M03,"329,146"
DCLORC,2007M04,"320,677"
DCLORC,2007M05,"325,448"
DCLORC,2007M06,"322,558"
DCLORC,2007M07,"323,834"
DCLORC,2007M08,"322,184"
DCLORC,2007M09,"321,113"
DCLORC,2007M10,"321,227"
DCLORC,2007M11,"324,283"
DCLORC,2007M12,"322,695"
DCLORC,2008M01,"322,216"
DCLORC,2008M02,"318,991"
DCLORC,2008M03,"317,686"
DCLORC,2008M04,"323,087"
DCLORC,2008M05,"325,500"
DCLORC,2008M06,"326,114"
DCLORC,2008M07,"324,814"
DCLORC,2008M08,"322,679"
DCLORC,2008M09,"309,882"
DCLORC,2008M10,"305,500"
DCLORC,2008M11,"308,576"
DCLORC,2008M12,"303,426"
DCLORC,2009M01,"307,146"
DCLORC,2009M02,"308,858"
DCLORC,2009M03,"297,520"
DCLORC,2009M04,"300,632"
DCLORC,2009M05,"303,557"
DCLORC,2009M06,"299,518"
DCLORC,2009M07,"302,646"
DCLORC,2009M08,"306,377"
DCLORC,2009M09,"304,975"
DCLORC,2009M10,"308,042"
DCLORC,2009M11,"304,401"
DCLORC,2009M12,"304,841"
DCLORC,2010M01,"310,154"
DCLORC,2010M02,"311,131"
DCLORC,2010M03,"316,785"
DCLORC,2010M04,"317,013"
DCLORC,2010M05,"314,348"
DCLORC,2010M06,"314,565"
DCLORC,2010M07,"313,486"
DCLORC,2010M08,"316,681"
DCLORC,2010M09,"316,879"
DCLORC,2010M10,"319,291"
DCLORC,2010M11,"325,949"
DCLORC,2010M12,"323,053"
DCLORC,2011M01,"325,090"
DCLORC,2011M02,"327,666"
DCLORC,2011M03,"328,685"
DCLORC,2011M04,"330,016"
DCLORC,2011M05,"330,274"
DCLORC,2011M06,"334,890"
DCLORC,2011M07,"332,681"
DCLORC,2011M08,"330,130"
DCLORC,2011M09,"337,027"
DCLORC,2011M10,"335,750"
DCLORC,2011M11,"338,916"
DCLORC,2011M12,"339,901"
DCLORC,2012M01,"341,095"
DCLORC,2012M02,"347,128"
DCLORC,2012M03,"346,986"
DCLORC,2012M04,"341,268"
DCLORC,2012M05,"342,226"
DCLORC,2012M06,"343,981"
DCLORC,2012M07,"344,790"
DCLORC,2012M08,"345,901"
DCLORC,2012M09,"347,868"
DCLORC,2012M10,"345,851"
DCLORC,2012M11,"347,452"
DCLORC,2012M12,"348,089"
DCLORC,2013M01,"356,727"
DCLORC,2013M02,"351,837"
DCLORC,2013M03,"351,752"
DCLORC,2013M04,"352,412"
DCLORC,2013M05,"353,204"
DCLORC,2013M06,"353,012"
DCLORC,2013M07,"356,068"
DCLORC,2013M08,"353,186"
DCLORC,2013M09,"353,460"
DCLORC,2013M10,"358,648"
DCLORC,2013M11,"354,223"
DCLORC,2013M12,"357,688"
DCLORC,2014M01,"353,271"
DCLORC,2014M02,"359,315"
DCLORC,2014M03,"362,140"
DCLORC,2014M04,"370,701"
DCLORC,2014M05,"366,193"
DCLORC,2014M06,"368,178"
DCLORC,2014M07,"370,058"
DCLORC,2014M08,"372,588"
DCLORC,2014M09,"370,391"
DCLORC,2014M10,"374,685"
DCLORC,2014M11,"378,530"
DCLORC,2014M12,"377,200"
DCLORC,2015M01,"373,321"
DCLORC,2015M02,"376,790"
DCLORC,2015M03,"379,675"
DCLORC,2015M04,"378,395"
DCLORC,2015M05,"382,899"
DCLORC,2015M06,"378,328"
DCLORC,2015M07,"381,341"
DCLORC,2015M08,"382,680"
DCLORC,2015M09,"385,101"
DCLORC,2015M10,"381,708"
DCLORC,2015M11,"384,176"
DCLORC,2015M12,"385,223"
DCLORC,2016M01,"385,491"
DCLORC,2016M02,"393,678"
DCLORC,2016M03,"388,706"
DCLORC,2016M04,"387,168"
DCLORC,2016M05,"389,905"
DCLORC,2016M06,"395,675"
DCLORC,2016M07,"391,949"
DCLORC,2016M08,"395,258"
DCLORC,2016M09,"396,431"
DCLORC,2016M10,"394,236"
DCLORC,2016M11,"390,735"
DCLORC,2016M12,"396,578"
DCLORC,2017M01,"400,695"
DCLORC,2017M02,"396,398"
DCLORC,2017M03,"398,856"
DCLORC,2017M04,"400,821"
DCLORC,2017M05,"397,306"
DCLORC,2017M06,"401,094"
DCLORC,2017M07,"398,150"
DCLORC,2017M08,"401,880"
DCLORC,2017M09,"403,167"
DCLORC,2017M10,"399,841"
DCLORC,2017M11,"406,047"
DCLORC,2017M12,"408,758"
DCLORC,2018M01,"412,885"
DCLORC,2018M02,"416,328"
DCLORC,2018M03,"402,500"
DCLORC,2018M04,"410,241"
DCLORC,2018M05,"418,716"
DCLORC,2018M06,"406,037"
DCLORC,2018M07,"410,849"
DCLORC,2018M08,"405,422"
DCLORC,2018M09,"404,716"
DCLORC,2018M10,"409,507"
DCLORC,2018M11,"416,278"
DCLORC,2018M12,"399,083"
DCLORC,2019M01,"407,073"
DCLORC,2019M02,"409,059"
DCLORC,2019M03,"412,712"
DCLORC,2019M04,"413,082"
DCLORC,2019M05,"414,513"
DCLORC,2019M06,"416,280"
DCLORC,2019M07,"420,647"
DCLORC,2019M08,"418,104"
DCLORC,2019M09,"412,408"
DCLORC,2019M10,"414,743"
DCLORC,2019M11,"413,453"
DCLORC,2019M12,"417,652"
DCLORC,2020M01,"409,094"
DCLORC,2020M02,"411,376"
DCLORC,2020M03,"285,141"
DCLORC,2020M04,"192,276"
DCLORC,2020M05,"276,874"
DCLORC,2020M06,"375,330"
DCLORC,2020M07,"378,230"
DCLORC,2020M08,"378,835"
DCLORC,2020M09,"410,866"
DCLORC,2020M10,"405,767"
DCLORC,2020M11,"395,233"
DCLORC,2020M12,"406,203"
DCLORC,2021M01,"421,548"
DCLORC,2021M02,"402,264"
DCLORC,2021M03,"472,058"
DCLORC,2021M04,"471,240"
DCLORC,2021M05,"475,248"
DCLORC,2021M06,"492,234"
DCLORC,2021M07,"473,630"
DCLORC,2021M08,"476,750"
DCLORC,2021M09,"480,116"
DCLORC,2021M10,"484,284"
DCLORC,2021M11,"492,839"
DCLORC,2021M12,"481,277"
DCLORC,2022M01,"473,427"
DCLORC,2022M02,"481,045"
DCLORC,2022M03,"493,267"
DCLORC,2022M04,"496,281"
DCLORC,2022M05,"497,037"
DCLORC,2022M06,"496,913"
DCLORC,2022M07,"491,629"
DCLORC,2022M08,"499,320"
DCLORC,2022M09,"503,546"
DCLORC,2022M10,"503,678"
DCLORC,2022M11,"497,909"
DCLORC,2022M12,"495,170"
DCLORC,2023M01,"509,379"
DCLORC,2023M02,"509,791"
DCLORC,2023M03,"501,924"
DCLORC,2023M04,"506,409"
DCLORC,2023M05,"506,237"
DCLORC,2023M06,"508,730"
DCLORC,2023M07,"517,349"
DCLORC,2023M08,"520,385"
DCLORC,2023M09,"519,173"
DCLORC,2023M10,"518,218"
DCLORC,2023M11,"518,031"
DCLORC,2023M12,"524,411"
DCLORC,2024M01,"518,403"
DCLORC,2024M02,"521,757"
DCLORC,2024M03,"516,403"
