"BKCLASS","CERT","CRCRCD","CRCRCDQ","DRCRCD","DRCRCDQ","ID","LNCRCD","NACRCD","NAME","NCCRCD","NTCRCD","NTCRCDQ","P3CRCD","P9CRCD","REPDTE"
"N",4091,8,8,5,5,"4091_19840331",1898,0,"CENTRAL NB&T CO OF ENID",1,-3,-3,,1,"19840331"
"N",4091,12,4,11,6,"4091_19840630",1862,0,"CENTRAL NB&T CO OF ENID",3,-1,2,,3,"19840630"
"N",4091,14,2,17,6,"4091_19840930",1958,0,"CENTRAL NB&T CO OF ENID",10,3,4,,10,"19840930"
"N",4091,17,3,26,9,"4091_19841231",2028,0,"CENTRAL NB&T CO OF ENID",3,9,6,,3,"19841231"
"N",4091,1,1,6,6,"4091_19850331",2004,0,"CENTRAL NB&T CO OF ENID",19,5,5,,19,"19850331"
"N",4091,6,2,23,9,"4091_19850630",1967,0,"CENTRAL NB&T CO OF ENID",17,17,7,,17,"19850630"
"N",4091,6,3,23,8,"4091_19850930",1967,0,"CENTRAL NB&T CO OF ENID",17,17,5,,17,"19850930"
"N",4091,7,1,29,6,"4091_19851231",1112,0,"CENTRAL NB&T CO OF ENID",0,22,5,,0,"19851231"
"N",4091,1,1,1,1,"4091_19860331",1160,0,"CENTRAL NB&T CO OF ENID",0,0,0,,0,"19860331"
"N",4091,1,0,6,5,"4091_19860630",1115,0,"CENTRAL NB&T CO OF ENID",0,5,5,,0,"19860630"
"N",4091,2,1,7,1,"4091_19860930",1158,0,"CENTRAL NB&T CO OF ENID",0,5,0,,0,"19860930"
"N",4091,5,3,7,0,"4091_19861231",1130,0,"CENTRAL NB&T CO OF ENID",0,2,-3,,0,"19861231"
"N",4091,2,2,1,1,"4091_19870331",1710,0,"CENTRAL NB&T CO OF ENID",0,-1,-1,,0,"19870331"
"N",4091,4,2,2,1,"4091_19870630",1592,0,"CENTRAL NB&T CO OF ENID",0,-2,-1,,0,"19870630"
"N",4091,5,1,4,2,"4091_19870930",1624,0,"CENTRAL NB&T CO OF ENID",0,-1,1,,0,"19870930"
"N",4091,23,18,40,36,"4091_19871231",1652,0,"CENTRAL NB&T CO OF ENID",0,17,18,,0,"19871231"
"N",4091,4,4,6,6,"4091_19880331",1617,0,"CENTRAL NB&T CO OF ENID",0,2,2,,0,"19880331"
"N",4091,6,2,12,6,"4091_19880630",1576,0,"CENTRAL NB&T CO OF ENID",0,6,4,,0,"19880630"
"N",4091,8,2,17,5,"4091_19880930",1599,0,"CENTRAL NB&T CO OF ENID",0,9,3,,0,"19880930"
"N",4091,13,5,22,5,"4091_19881231",1729,0,"CENTRAL NB&T CO OF ENID",0,9,0,,0,"19881231"
"N",4091,3,3,6,6,"4091_19890331",1813,0,"CENTRAL NB&T CO OF ENID",0,3,3,,0,"19890331"
"N",4091,5,2,10,4,"4091_19890630",1801,0,"CENTRAL NB&T CO OF ENID",2,5,2,,2,"19890630"
"N",4091,8,3,23,13,"4091_19890930",1898,0,"CENTRAL NB&T CO OF ENID",0,15,10,,0,"19890930"
"N",4091,11,3,26,3,"4091_19891231",2013,0,"CENTRAL NB&T CO OF ENID",0,15,0,,0,"19891231"
"N",4091,3,3,2,2,"4091_19900331",2077,0,"CENTRAL NB&T CO OF ENID",0,-1,-1,,0,"19900331"
"N",4091,5,2,3,1,"4091_19900630",2131,0,"CENTRAL NB&T CO OF ENID",0,-2,-1,,0,"19900630"
"N",4091,6,1,4,1,"4091_19900930",2266,0,"CENTRAL NB&T CO OF ENID",0,-2,0,,0,"19900930"
"N",4091,7,1,9,5,"4091_19901231",2337,0,"CENTRAL NB&T CO OF ENID",0,2,4,,0,"19901231"
"N",4091,2,2,8,8,"4091_19910331",2306,0,"CENTRAL NB&T CO OF ENID",0,6,6,,0,"19910331"
