cu_number,entity,cycle_date,metric,value
227,NCUA:PENFED,2021-06-30,ncua_card_loans,1722980683.0
5536,NCUA:NAVY_FEDERAL,2021-06-30,ncua_card_loans,19775200628.0
24694,NCUA:AMERICA_FIRST,2021-06-30,ncua_card_loans,568610865.0
62604,NCUA:BECU,2021-06-30,ncua_card_loans,1077232189.0
,NCUA_FICU,2021-06-30,ncua_card_loans,59878044434.0
227,NCUA:PENFED,2021-06-30,ncua_card_charge_offs_ytd,32923458.0
5536,NCUA:NAVY_FEDERAL,2021-06-30,ncua_card_charge_offs_ytd,351703592.0
24694,NCUA:AMERICA_FIRST,2021-06-30,ncua_card_charge_offs_ytd,5411573.0
62604,NCUA:BECU,2021-06-30,ncua_card_charge_offs_ytd,9912335.0
,NCUA_FICU,2021-06-30,ncua_card_charge_offs_ytd,806724883.0
227,NCUA:PENFED,2021-06-30,ncua_card_recoveries_ytd,4510843.0
5536,NCUA:NAVY_FEDERAL,2021-06-30,ncua_card_recoveries_ytd,59886882.0
24694,NCUA:AMERICA_FIRST,2021-06-30,ncua_card_recoveries_ytd,1986946.0
62604,NCUA:BECU,2021-06-30,ncua_card_recoveries_ytd,2828860.0
,NCUA_FICU,2021-06-30,ncua_card_recoveries_ytd,185477159.0
227,NCUA:PENFED,2021-06-30,ncua_card_delinquent_60plus,27012293.0
5536,NCUA:NAVY_FEDERAL,2021-06-30,ncua_card_delinquent_60plus,218708642.0
24694,NCUA:AMERICA_FIRST,2021-06-30,ncua_card_delinquent_60plus,1983943.0
62604,NCUA:BECU,2021-06-30,ncua_card_delinquent_60plus,1383422.0
,NCUA_FICU,2021-06-30,ncua_card_delinquent_60plus,464049967.0
227,NCUA:PENFED,2021-06-30,ncua_card_rate,1349.0
5536,NCUA:NAVY_FEDERAL,2021-06-30,ncua_card_rate,965.0
24694,NCUA:AMERICA_FIRST,2021-06-30,ncua_card_rate,1049.0
62604,NCUA:BECU,2021-06-30,ncua_card_rate,799.0
