"YRQTR","Total Balances ($Billions)","Number of Accounts (Millions)","Total Commitments ($Billions)","Account Balance (Active Accounts Only) (50th percentile)","Account Balance (Active Accounts Only) (75th percentile)","Account Balance (Active Accounts Only) (90th percentile)","Current Credit Limit (50th Percentile)","Current Credit Limit (75th Percentile)","Current Credit Limit (90th Percentile)","Current Credit Score (10th percentile)","Current Credit Score (25th percentile)","Current Credit Score (50th percentile)","Utilization (Active Accounts Only) (50th percentile)","Utilization (Active Accounts Only) (75th percentile)","Utilization (Active Accounts Only) (90th percentile)","Percentage of Accounts with Credit Line Decrease","Percentage of Accounts with Credit Line Increase","30+ Days Past Due Rates: Accounts Based","30+ Days Past Due Rates: Balances Based","60+ Days Past Due Rates: Accounts Based","60+ Days Past Due Rates: Balances Based","90+ Days Past Due Rates: Accounts Based","90+ Days Past Due Rates: Balances Based","Share of Accounts Making the Minimum Payment","Share of Accounts Making Greater Than the Minimum Payment but Less Than the Full Balance","Share of Accounts Making the Full Balance Payment","Revolving Balances Only ($Billions)","Net Charge-Off Rate","Average Purchase APR: General Purpose","Average Purchase APR: Private Label","Total Purchase Volume ($Billions)","Average Purchase Volume by Credit Score Group: <660 Credit Score","Average Purchase Volume by Credit Score Group: 660-719 Credit Score","Average Purchase Volume by Credit Score Group: >=720 Credit Score","Percentage of Accounts Subject to Promotional APR: Percentage APR Accounts"
"2012Q3","$571.03","513.95","$2,985.26","$297","$1,541","$4,373","$3,182","$8,083","$15,108","631","692","762","9.25 %","59.08 %","94.47 %","null","1.16 %","1.43 %","3.18 %","0.93 %","2.25 %","0.64 %","1.63 %","8.78 %","32.32 %","26.37 %","$412.26","4.55 %","16.80 %","23.84 %","$316.89","$242.19","$579.52","$1,216.93","13.02 %"
"2012Q4","$587.32","512.46","$2,985.74","$327","$1,591","$4,419","$3,268","$8,083","$15,108","631","691","762","10.98 %","60.45 %","94.81 %","1.62 %","1.77 %","1.47 %","3.12 %","0.97 %","2.26 %","0.67 %","1.64 %","9.41 %","32.23 %","27.75 %","$457.19","4.26 %","16.78 %","23.84 %","$349.01","$249.29","$597.09","$1,243.91","13.23 %"
"2013Q1","$556.67","510.43","$2,969.74","$271","$1,474","$4,279","$3,268","$8,083","$15,108","631","691","762","8.39 %","56.54 %","93.28 %","2.06 %","1.54 %","1.28 %","2.97 %","0.86 %","2.18 %","0.61 %","1.63 %","8.62 %","32.77 %","29.02 %","$446.93","4.40 %","16.71 %","23.84 %","$326.64","$232.83","$556.91","$1,167.70","12.90 %"
"2013Q2","$564.47","507.70","$2,974.72","$261","$1,428","$4,212","$3,354","$8,083","$15,199","635","693","762","7.92 %","52.74 %","92.05 %","1.92 %","1.49 %","1.26 %","2.96 %","0.83 %","2.23 %","0.58 %","1.74 %","8.38 %","31.65 %","29.68 %","$405.26","4.14 %","16.70 %","23.90 %","$357.09","$270.17","$611.69","$1,269.80","12.90 %"
"2013Q3","$564.23","510.61","$2,974.64","$256","$1,414","$4,190","$3,268","$8,083","$15,017","636","692","761","7.55 %","52.93 %","92.47 %","1.54 %","1.65 %","1.26 %","2.50 %","0.78 %","1.69 %","0.51 %","1.15 %","8.65 %","31.48 %","29.81 %","$400.26","3.66 %","16.68 %","23.95 %","$362.86","$304.82","$647.86","$1,287.66","12.93 %"
"2013Q4","$583.17","516.30","$2,994.49","$288","$1,473","$4,245","$3,268","$8,083","$15,017","636","693","762","9.36 %","54.99 %","92.99 %","1.63 %","2.02 %","1.28 %","2.52 %","0.82 %","1.74 %","0.55 %","1.22 %","8.99 %","30.95 %","28.91 %","$416.55","3.64 %","16.69 %","23.98 %","$373.92","$312.29","$652.75","$1,300.46","13.50 %"
"2014Q1","$554.59","511.85","$2,989.26","$242","$1,372","$4,113","$3,354","$8,083","$15,063","635","692","762","7.06 %","51.49 %","91.37 %","1.78 %","1.75 %","1.10 %","2.38 %","0.71 %","1.66 %","0.48 %","1.18 %","8.24 %","31.76 %","30.34 %","$412.55","3.86 %","16.67 %","23.98 %","$350.27","$288.10","$603.43","$1,220.56","13.46 %"
"2014Q2","$568.31","520.05","$3,004.34","$262","$1,434","$4,169","$3,182","$8,083","$15,017","637","694","763","7.92 %","52.35 %","91.87 %","1.45 %","2.42 %","1.07 %","2.14 %","0.65 %","1.45 %","0.41 %","1.01 %","8.62 %","31.34 %","29.51 %","$413.14","3.66 %","16.72 %","24.00 %","$388.44","$334.29","$666.88","$1,339.54","13.83 %"
"2014Q3","$575.60","511.25","$3,009.70","$278","$1,473","$4,195","$3,440","$8,083","$15,172","636","692","761","8.36 %","54.88 %","92.83 %","1.34 %","2.18 %","1.21 %","2.26 %","0.76 %","1.53 %","0.49 %","1.04 %","9.07 %","31.75 %","29.16 %","$425.69","3.30 %","16.79 %","24.00 %","$394.97","$341.15","$688.38","$1,352.84","14.36 %"
"2014Q4","$600.73","520.62","$3,044.31","$311","$1,531","$4,245","$3,440","$8,083","$15,017","634","691","761","10.22 %","56.51 %","93.24 %","1.34 %","2.65 %","1.27 %","2.29 %","0.81 %","1.58 %","0.54 %","1.10 %","9.39 %","31.46 %","29.28 %","$431.57","3.37 %","16.85 %","24.02 %","$405.56","$341.90","$701.23","$1,380.81","14.82 %"
"2015Q1","$572.77","521.06","$3,050.85","$252","$1,415","$4,085","$3,440","$8,083","$15,017","633","690","760","7.44 %","52.65 %","91.45 %","1.63 %","2.21 %","1.13 %","2.24 %","0.72 %","1.55 %","0.49 %","1.10 %","8.44 %","31.91 %","30.33 %","$428.21","3.48 %","16.89 %","24.04 %","$375.58","$316.69","$638.65","$1,269.77","14.40 %"
"2015Q2","$588.11","526.06","$3,078.33","$270","$1,473","$4,126","$3,440","$8,000","$15,017","635","691","760","8.12 %","53.08 %","91.97 %","1.42 %","3.06 %","1.14 %","2.07 %","0.69 %","1.38 %","0.44 %","0.95 %","8.94 %","31.44 %","29.70 %","$427.03","3.39 %","16.97 %","24.07 %","$416.51","$364.13","$705.89","$1,383.98","14.22 %"
"2015Q3","$598.29","514.00","$3,099.45","$298","$1,550","$4,210","$3,670","$8,333","$15,199","632","689","758","8.75 %","56.03 %","93.18 %","1.18 %","3.00 %","1.35 %","2.27 %","0.84 %","1.51 %","0.55 %","1.03 %","9.49 %","31.91 %","29.11 %","$441.00","3.05 %","17.22 %","24.02 %","$424.82","$375.18","$742.84","$1,415.62","14.63 %"
"2015Q4","$627.63","526.78","$3,157.26","$329","$1,594","$4,244","$3,670","$8,333","$15,017","631","688","757","10.38 %","57.38 %","93.60 %","1.76 %","3.21 %","1.41 %","2.36 %","0.91 %","1.63 %","0.61 %","1.13 %","9.70 %","31.43 %","29.60 %","$449.49","3.41 %","17.40 %","24.03 %","$437.94","$376.49","$755.55","$1,447.31","14.77 %"
"2016Q1","$601.10","527.20","$3,187.85","$265","$1,488","$4,105","$3,670","$8,333","$15,290","630","687","757","7.58 %","53.35 %","91.91 %","1.87 %","2.68 %","1.22 %","2.27 %","0.79 %","1.59 %","0.54 %","1.12 %","8.86 %","32.17 %","30.43 %","$448.97","3.72 %","17.60 %","24.09 %","$407.36","$342.39","$687.45","$1,314.00","14.42 %"
