"YRQTR","New Originations ($Billions)","Number of New Accounts (Millions)","Original Credit Limit (50th percentile)","Original Credit Limit (75th percentile)","Original Credit Limit (90th percentile)","Original Credit Score (10th percentile)","Original Credit Score (25th percentile)","Original Credit Score (50th percentile)","Average Original Purchase APR: General Purpose","Average Original Purchase APR: Private Label","Median Original Credit Limit by Credit Score Group: <660 Credit Score","Median Original Credit Limit by Credit Score Group: 660-719 Credit Score","Median Original Credit Limit by Credit Score Group: >=720 Credit Score","Percentage of New Accounts with <660 Credit Score","Percentage of New Commitments with <660 Credit Score"
"2012Q3","$57.91","15.06","$2,344.74","$5,000.00","$8,413.46","627","668","730","18.97 %","25.51 %","$700.00","$1,657.97","$4,643.53","20.49 %","5.85 %"
"2012Q4","$67.01","18.38","$2,344.74","$5,000.00","$8,413.46","639","675","736","19.32 %","25.25 %","$700.00","$1,657.97","$4,073.28","18.13 %","5.17 %"
"2013Q1","$60.39","14.66","$2,813.68","$5,416.67","$8,413.46","640","676","735","18.65 %","25.38 %","$700.00","$1,657.97","$4,480.60","17.39 %","4.87 %"
"2013Q2","$63.88","16.31","$2,626.11","$5,000.00","$8,413.46","641","674","732","19.08 %","25.14 %","$700.00","$1,657.97","$4,073.28","17.80 %","5.19 %"
"2013Q3","$66.22","17.12","$2,344.74","$5,000.00","$8,413.46","636","669","726","18.84 %","25.84 %","$700.00","$1,657.97","$4,399.14","19.72 %","5.86 %"
"2013Q4","$77.06","20.55","$2,344.74","$5,000.00","$8,413.46","632","666","726","19.01 %","25.91 %","$700.00","$1,657.97","$4,073.28","21.47 %","6.36 %"
"2014Q1","$69.38","16.67","$2,626.11","$5,000.00","$8,413.46","627","662","721","18.59 %","25.97 %","$700.00","$1,823.77","$4,887.93","22.54 %","6.57 %"
"2014Q2","$75.15","18.99","$2,344.74","$5,000.00","$8,413.46","624","659","717","19.04 %","25.70 %","$700.00","$1,657.97","$4,887.93","23.96 %","7.33 %"
"2014Q3","$72.90","18.78","$1,875.79","$5,000.00","$8,413.46","620","654","709","18.70 %","25.87 %","$700.00","$1,657.97","$4,887.93","25.58 %","8.01 %"
"2014Q4","$74.72","20.94","$1,875.79","$4,583.33","$8,413.46","620","653","709","19.01 %","25.85 %","$700.00","$1,657.97","$4,073.28","26.35 %","8.63 %"
"2015Q1","$68.29","17.41","$1,875.79","$5,000.00","$8,413.46","616","652","708","18.70 %","25.87 %","$700.00","$1,906.67","$4,887.93","26.44 %","8.29 %"
"2015Q2","$80.32","20.18","$1,875.79","$5,000.00","$8,413.46","617","652","707","18.95 %","25.60 %","$700.00","$1,906.67","$4,887.93","26.89 %","8.38 %"
"2015Q3","$78.38","19.88","$1,875.79","$5,000.00","$8,413.46","617","653","706","19.25 %","25.70 %","$700.00","$1,950.00","$4,887.93","26.21 %","8.19 %"
"2015Q4","$83.73","22.42","$1,705.26","$5,000.00","$8,413.46","617","651","707","19.57 %","25.60 %","$700.00","$1,733.33","$4,236.21","27.34 %","8.70 %"
"2016Q1","$81.64","19.20","$2,131.58","$5,416.67","$9,507.21","616","654","710","19.61 %","25.78 %","$700.00","$2,166.67","$4,887.93","25.83 %","7.33 %"
"2016Q2","$93.26","21.96","$2,131.58","$5,500.00","$9,170.67","619","655","711","20.33 %","25.69 %","$700.00","$2,166.67","$5,050.86","25.48 %","7.43 %"
"2016Q3","$95.92","21.19","$2,557.89","$5,833.33","$10,096.15","625","660","714","20.02 %","25.80 %","$700.00","$2,166.67","$5,132.33","23.58 %","6.77 %"
"2016Q4","$87.19","20.86","$2,131.58","$5,000.00","$8,413.46","624","658","713","20.41 %","25.94 %","$700.00","$1,733.33","$4,887.93","24.75 %","7.08 %"
"2017Q1","$87.05","17.30","$2,557.89","$6,666.67","$11,778.85","625","662","719","20.05 %","26.15 %","$700.00","$2,166.67","$5,865.52","22.89 %","5.81 %"
"2017Q2","$85.18","18.83","$2,557.89","$6,250.00","$10,096.15","624","660","715","20.87 %","26.12 %","$700.00","$2,166.67","$5,702.59","23.75 %","6.45 %"
"2017Q3","$82.35","18.37","$2,557.89","$6,250.00","$9,843.75","623","661","717","21.02 %","26.39 %","$700.00","$2,166.67","$5,295.26","23.17 %","6.00 %"
"2017Q4","$84.02","19.51","$2,216.84","$5,833.33","$8,834.13","623","660","717","21.59 %","26.50 %","$700.00","$2,166.67","$4,887.93","23.32 %","6.16 %"
"2018Q1","$80.98","16.77","$2,557.89","$6,666.67","$10,769.23","620","661","720","21.09 %","26.64 %","$700.00","$2,166.67","$6,109.91","23.02 %","5.59 %"
"2018Q2","$86.00","18.58","$2,557.89","$6,666.67","$10,432.69","622","661","719","21.43 %","26.65 %","$700.00","$2,253.33","$6,109.91","23.02 %","5.94 %"
"2018Q3","$85.25","18.75","$2,557.89","$6,666.67","$10,180.29","621","661","718","21.61 %","27.02 %","$560.00","$2,166.67","$5,865.52","23.10 %","6.04 %"
"2018Q4","$89.43","20.03","$2,557.89","$6,333.33","$10,096.15","623","661","720","22.17 %","27.33 %","$700.00","$2,166.67","$5,539.66","23.14 %","6.01 %"
"2019Q1","$85.44","17.07","$2,728.42","$6,666.67","$12,536.06","624","665","724","22.15 %","27.36 %","$700.00","$2,426.67","$6,191.38","21.39 %","5.32 %"
"2019Q2","$89.76","18.91","$2,557.89","$6,666.67","$10,937.50","619","661","721","22.48 %","27.02 %","$700.00","$2,600.00","$6,109.91","23.35 %","6.17 %"
"2019Q3","$89.47","19.19","$2,557.89","$6,666.67","$10,937.50","616","660","720","22.55 %","27.08 %","$700.00","$2,340.00","$5,865.52","23.75 %","6.21 %"
"2019Q4","$92.07","21.00","$2,131.58","$6,250.00","$10,096.15","621","659","719","22.27 %","26.90 %","$491.40","$1,906.67","$5,295.26","24.40 %","6.04 %"
"2020Q1","$80.74","16.45","$2,984.21","$6,666.67","$12,620.19","623","664","723","21.67 %","26.56 %","$700.00","$2,340.00","$6,191.38","22.15 %","5.24 %"
"2020Q2","$39.41","9.20","$2,898.95","$6,000.00","$8,834.13","637","673","726","20.22 %","26.03 %","$700.00","$2,166.67","$4,887.93","18.16 %","5.02 %"
"2020Q3","$46.54","11.97","$2,344.74","$5,000.00","$8,413.46","636","674","730","20.59 %","26.03 %","$560.00","$1,733.33","$4,073.28","18.11 %","4.63 %"
"2020Q4","$57.96","16.11","$1,705.26","$5,000.00","$8,413.46","623","662","720","21.45 %","25.99 %","$420.00","$1,733.33","$4,073.28","23.40 %","5.64 %"
"2021Q1","$57.04","14.34","$2,344.74","$5,333.33","$8,750.00","620","664","723","21.30 %","26.00 %","$700.00","$1,733.33","$4,725.00","22.27 %","5.85 %"
"2021Q2","$79.33","18.70","$2,171.05","$5,866.67","$9,975.00","615","658","716","21.65 %","26.04 %","$700.00","$1,820.00","$5,250.00","24.78 %","6.74 %"
"2021Q3","$87.31","19.38","$2,605.26","$6,222.22","$10,762.50","620","659","716","21.59 %","26.11 %","$700.00","$2,166.67","$5,600.00","24.10 %","6.77 %"
"2021Q4","$93.22","20.58","$2,431.58","$6,222.22","$10,762.50","619","657","715","21.65 %","26.06 %","$700.00","$2,166.67","$5,425.00","25.15 %","7.01 %"
"2022Q1","$87.48","17.44","$2,605.26","$7,111.11","$13,037.50","622","661","718","21.57 %","26.14 %","$700.00","$2,600.00","$6,300.00","23.08 %","6.26 %"
"2022Q2","$102.02","20.35","$2,605.26","$7,111.11","$13,037.50","621","659","715","22.33 %","26.37 %","$700.00","$2,600.00","$6,562.50","23.93 %","6.57 %"
"2022Q3","$105.52","20.86","$2,605.26","$7,111.11","$13,125.00","622","661","716","23.49 %","27.40 %","$700.00","$2,600.00","$6,650.00","22.83 %","6.21 %"
"2022Q4","$104.57","20.57","$2,605.26","$7,111.11","$13,125.00","621","661","718","25.18 %","28.52 %","$700.00","$2,166.67","$6,475.00","23.36 %","6.04 %"
"2023Q1","$104.85","18.17","$3,386.84","$8,000.00","$14,700.00","625","668","726","25.80 %","28.81 %","$700.00","$2,600.00","$7,000.00","20.26 %","4.82 %"
"2023Q2","$114.77","19.95","$3,473.68","$8,000.00","$14,525.00","628","670","728","26.14 %","28.87 %","$700.00","$2,600.00","$7,000.00","19.60 %","4.59 %"
"2023Q3","$110.49","19.52","$3,300.00","$8,000.00","$14,000.00","630","673","729","26.58 %","29.09 %","$700.00","$2,600.00","$7,000.00","18.23 %","4.40 %"
"2023Q4","$107.07","19.89","$3,000.00","$7,700.00","$13,000.00","629","673","731","27.24 %","30.01 %","$600.00","$2,500.00","$6,000.00","18.65 %","4.55 %"
"2024Q1","$102.98","16.80","$3,750.00","$8,400.00","$15,000.00","629","677","735","26.77 %","30.10 %","$600.00","$2,500.00","$7,500.00","17.40 %","3.99 %"
"2024Q2","$106.01","17.53","$3,900.00","$8,000.00","$15,000.00","632","679","737","27.33 %","30.67 %","$700.00","$2,500.00","$7,000.00","16.68 %","3.96 %"
"2024Q3","$99.57","16.93","$3,500.00","$8,000.00","$15,000.00","634","681","737","27.78 %","31.95 %","$750.00","$2,500.00","$7,000.00","15.59 %","3.89 %"
"2024Q4","$100.32","17.60","$3,500.00","$8,000.00","$14,000.00","632","679","738","27.76 %","32.09 %","$600.00","$2,400.00","$6,000.00","16.62 %","4.00 %"
"2025Q1","$97.12","15.40","$4,000.00","$9,000.00","$15,000.00","632","682","741","26.83 %","32.01 %","$500.00","$2,700.00","$7,200.00","16.06 %","3.58 %"
"2025Q2","$109.35","17.54","$4,000.00","$9,000.00","$15,000.00","632","681","741","27.21 %","31.89 %","$500.00","$2,500.00","$7,000.00","16.17 %","3.59 %"
"2025Q3","$106.07","17.74","$3,900.00","$8,000.00","$15,000.00","631","680","739","27.27 %","31.97 %","$600.00","$2,500.00","$7,000.00","16.43 %","3.79 %"
